
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
hotel,旅館；飯店,n.,hotel (n.),OK,,
hour,小時；時刻,n.,hour (n.),OK,,
hourly,每小時的每小時地；頻繁地,adv.,hourly (adv.),OK,,
house,房子；住宅,n.,house (n.),OK,,
household,家庭，戶家的；家庭的I,adj.,household (adj.),Possible error,家庭，戶家的；家庭的,English letters present in Chinese meaning
housekeeper,管家；慈的,adj.,housekeeper (adj.),OK,,
housing,房屋，住宅,v.,housing (v.),OK,,
however,然而,n.,however (n.),OK,,
hub,集線器,n.,hub (n.),OK,,
huge,龐大的；巨大的,adj.,huge (adj.),OK,,
human,人類,n.,human (n.),OK,,
human resource,人力資源想化,phr.,human resource (phr.),OK,,
humane,人道的；仁,adj.,humane (adj.),OK,,
humankind,人類,n.,humankind (n.),OK,,
humble,謙遜的；謙恭急忙；倉促,adj.,humble (adj.),OK,,
humid,潮濕的,adj.,humid (adj.),OK,,
humidity,濕氣；濕度,n.,humidity (n.),OK,,
humor,幽默感；幽默,n.,humor (n.),OK,,
humorous,幽默,adj.,humorous (adj.),OK,,
hunt,狩獵,n.,hunt (n.),OK,,
hurry,使趕緊；催促,n.,hurry (n.),OK,,
hurt,受傷；受傷；疼痛受,n.,hurt (n.),OK,,
hush,靜寂，沉默使沉默，使安靜,n.,hush (n.),OK,,
ice,冰結冰,n.,ice (n.),OK,,
ice-cold,冰冷的；毫無感情的,phr.,ice-cold (phr.),OK,,
icon,畫像；偶像佣人,n.,icon (n.),OK,,
ict,給予（打擊）；,n.,ict (n.),OK,,
icy,多冰的；冷冰冰的,adj.,icy (adj.),OK,,
idea,打算；計畫,n.,idea (n.),OK,,
ideal,理想；理想的；完美的,adj.,ideal (adj.),OK,,
idealize,形成理想；理,v.,idealize (v.),OK,,
identical,相同的；完全相似的,adj.,identical (adj.),OK,,
identify,認出；識別的使謙卑,v.,identify (v.),OK,,
identity,特性,n.,identity (n.),OK,,
idle,閒置的；空閒的,adj.,idle (adj.),OK,,
idol,偶像,n.,idol (n.),OK,,
idolize,崇拜偶像,v.,idolize (v.),OK,,
ight,班機；航班ﬁ,n.,ight (n.),OK,,
ignite,點燃；使燃燒,n.,ignite (n.),OK,,
ignition,著火；燃燒,n.,ignition (n.),OK,,
ignorance,無知；不學,n.,ignorance (n.),OK,,
ignorant,無知的；不,adj.,ignorant (adj.),OK,,
ignore,不理會；忽視,n.,ignore (n.),OK,,
ill,生病的；壞的不,adj.,ill (adj.),OK,,
ill-advised,欠考慮的；,phr.,ill-advised (phr.),OK,,
illegal,違法的,adj.,illegal (adj.),OK,,
illicit,不法的，違禁的,adj.,illicit (adj.),OK,,
illiteracy,不識字；文適,n.,illiteracy (n.),OK,,
illness,患病；身體不,n.,illness (n.),OK,,
illogical,不合邏輯的,adj.,illogical (adj.),OK,,
illuminate,照亮；照射,v.,illuminate (v.),OK,,
illusion,錯覺；幻覺,n.,illusion (n.),OK,,
illustrate,說明；說明；闡明,v.,illustrate (v.),OK,,
illustration,描繪；插畫,n.,illustration (n.),OK,,
image,圖像；圖像；圖案,n.,image (n.),OK,,
imaginary,想像的；幻想的,adj.,imaginary (adj.),OK,,
imagination,想像力,n.,imagination (n.),OK,,
imaginative,想像的,adj.,imaginative (adj.),OK,,
imagine,想像,n.,imagine (n.),OK,,
imitate,模仿,v.,imitate (v.),OK,,
immature,不成熟的,adj.,immature (adj.),OK,,
immediate,立刻的；,adj.,immediate (adj.),OK,,
immediately,立即；馬上；,adv.,immediately (adv.),OK,,
immense,巨大的；廣偏見的,adj.,immense (adj.),OK,,
immigrant,移民；僑民移民的,adj.,immigrant (adj.),OK,,
immigration,遷居,n.,immigration (n.),OK,,
immobile,不能動的；固定的,adj.,immobile (adj.),OK,,
immune,免疫的盲,n.,immune (n.),OK,,
impact,產生影響；碰撞,n.,impact (n.),OK,,
impair,損害；損傷,n.,impair (n.),OK,,
impartial,公正；公正的；無,adj.,impartial (adj.),OK,,
impatient,不耐煩的，沒耐心的,adj.,impatient (adj.),OK,,
impeccable,無懈可擊的；無缺點的,adj.,impeccable (adj.),OK,,
impede,妨礙；阻礙,n.,impede (n.),OK,,
imperative,必要的；緊急的,adj.,imperative (adj.),OK,,
implement,工具；器具履行；實施,n.,implement (n.),OK,,
implementation,履行；完成,n.,implementation (n.),OK,,
implication,牽連；涉及立即的,adj.,implication (adj.),OK,,
imply,暗指；暗示,adv.,imply (adv.),OK,,
impolite,失禮的直接地,adv.,impolite (adv.),OK,,
import,進口；輸入,n.,import (n.),OK,,
importance,重要性,n.,importance (n.),OK,,
important,重要的,adj.,important (adj.),OK,,
impose,強加於；禁令；制裁,n.,impose (n.),OK,,
impossible,不可能的,adj.,impossible (adj.),OK,,
impractical,不實際的,adj.,impractical (adj.),OK,,
impress,使感動；使銘,n.,impress (n.),OK,,
impression,印象,n.,impression (n.),OK,,
impressive,令人印象深刻的；印象深刻,adj.,impressive (adj.),OK,,
improper,不合適的,adj.,improper (adj.),OK,,
improve,增強；改善；改善,n.,improve (n.),OK,,
improvement,增強；記,n.,improvement (n.),OK,,
impulse,衝動；刺激,n.,impulse (n.),OK,,
in a good／bad mood,心情好／壞,phr.,in a good／bad mood (phr.),OK,,
in addition,除此之外,phr.,in addition (phr.),OK,,
in addition to,除了,phr.,in addition to (phr.),OK,,
in front of,在～前面,phr.,in front of (phr.),OK,,
in-depth,深入的；徹底的,phr.,in-depth (phr.),OK,,
inability,無能；無力,n.,inability (n.),OK,,
inaccurate,不正確的,adj.,inaccurate (adj.),OK,,
inactive,不活躍的,adj.,inactive (adj.),OK,,
inadequate,不適切的,adj.,inadequate (adj.),OK,,
inbound,回內地的；歸,adj.,inbound (adj.),OK,,
incense,香氣,n.,incense (n.),OK,,
incentive,鼓勵；動機刺激的；鼓勵的,adj.,incentive (adj.),OK,,
inch,英吋；少許緩慢地移動,n.,inch (n.),OK,,
incident,事件；事變,n.,incident (n.),OK,,
incidental,附帶的；伴隨的,adj.,incidental (adj.),OK,,
incinerate,焚化；灰化,v.,incinerate (v.),OK,,
incinerator,焚化爐,n.,incinerator (n.),OK,,
inclination,傾向；意向的,adj.,inclination (adj.),OK,,
incline,傾斜；屈身,n.,incline (n.),OK,,
include,包括；包含,n.,include (n.),OK,,
including,包括；包括；包,v.,including (v.),OK,,
inclusive,包含的，包括的,adj.,inclusive (adj.),OK,,
incoherent,無條理的；,adj.,incoherent (adj.),OK,,
income,收入；收入；收益,n.,income (n.),OK,,
incoming,進來的進,v.,incoming (v.),OK,,
incompetent,無能力的；不能勝任的本國的,adj.,incompetent (adj.),OK,,
incomplete,不完全的；不完整的,adj.,incomplete (adj.),OK,,
inconsistent,不一致,n.,inconsistent (n.),OK,,
inconvenience,不方,n.,inconvenience (n.),OK,,
inconvenient,不方便,n.,inconvenient (n.),OK,,
incorporate,合併；混,v.,incorporate (v.),OK,,
incorporation,公司；,n.,incorporation (n.),OK,,
incorrect,不正確的,adj.,incorrect (adj.),OK,,
increase,增加；增多示示物；增長,n.,increase (n.),OK,,
incredibility,不可信,n.,incredibility (n.),OK,,
incredible,難以置信人的,adj.,incredible (adj.),OK,,
incur,招致；惹起,n.,incur (n.),OK,,
indebt,使負債,n.,indebt (n.),OK,,
indecisive,優柔寡斷的,adj.,indecisive (adj.),OK,,
indeed,真正地；確實,adv.,indeed (adv.),OK,,
independent,獨立的；；獨立的；自主的,adj.,independent (adj.),OK,,
index,索引表明；指初期的,adj.,index (adj.),OK,,
indicate,指示；指出,v.,indicate (v.),OK,,
indication,徵兆；跡象,n.,indication (n.),OK,,
indicator,指示者；指,n.,indicator (n.),OK,,
indifference,漠不關心；冷淡增加,n.,indifference (n.),OK,,
indifferent,冷淡的,adj.,indifferent (adj.),OK,,
indispensable,必需的,adj.,indispensable (adj.),OK,,
individual,個體的；個的；不協調的,adj.,individual (adj.),OK,,
indoor,室內的,adj.,indoor (adj.),OK,,
indoors,在室內；在屋裡的；驚人的,adj.,indoors (adj.),OK,,
industrial,工業的,adj.,industrial (adj.),OK,,
industrialize,工業化,v.,industrialize (v.),OK,,
industry,工業；工業；企業,n.,industry (n.),OK,,
inevitable,無法避免的,adj.,inevitable (adj.),OK,,
inevitably,無法避免地未定的,adj.,inevitably (adj.),OK,,
inexpensive,廉價的,adj.,inexpensive (adj.),OK,,
infamous,聲名狼藉的,adj.,infamous (adj.),OK,,
infancy,嬰兒期；幼年,n.,infancy (n.),OK,,
infant,嬰兒嬰兒的；,adj.,infant (adj.),OK,,
infect,使受影響；感染,n.,infect (n.),OK,,
infection,傳染；侵染,n.,infection (n.),OK,,
infer,推論；推斷,n.,infer (n.),OK,,
inference,推論；推斷,n.,inference (n.),OK,,
inferior,低等的；下級,adj.,inferior (adj.),OK,,
influence,影響,n.,influence (n.),OK,,
influential,有影響,adj.,influential (adj.),OK,,
info,通知；報告,n.,info (n.),OK,,
inform,通知；告知,n.,inform (n.),OK,,
informal,不正式的,adj.,informal (adj.),OK,,
information,情報；資料；資訊,n.,information (n.),OK,,
informative,見聞廣博,adj.,informative (adj.),OK,,
infrastructure,公共建,n.,infrastructure (n.),OK,,
ing,令人困惑的；,adj.,ing (adj.),OK,,
ingredient,組成；原料,n.,ingredient (n.),OK,,
inhabit,居住於；棲息,n.,inhabit (n.),OK,,
inhabitant,居民；居住,n.,inhabitant (n.),OK,,
inherent,內在的；固有的,adj.,inherent (adj.),OK,,
initial,初始；開始的；最初的,adj.,initial (adj.),OK,,
initially,開始的；最初iﬁ,adj.,initially (adj.),Possible error,開始的；最初ﬁ,English letters present in Chinese meaning
initiate,新加入的,adj.,initiate (adj.),OK,,
initiation,開始；創始,n.,initiation (n.),OK,,
initiative,創始的iﬂ,adj.,initiative (adj.),Possible error,創始的ﬂ,English letters present in Chinese meaning
inject,注射,n.,inject (n.),OK,,
injection,注射,n.,injection (n.),OK,,
injure,傷害；損害,n.,injure (n.),OK,,
injured,受傷的,adj.,injured (adj.),OK,,
injury,傷害；損害；受傷,n.,injury (n.),OK,,
inn,店面,n.,inn (n.),OK,,
inner,內部的；核心的；裡面的,adj.,inner (adj.),OK,,
innocent,無辜的；單,adj.,innocent (adj.),OK,,
innovate,創立；革新的,adj.,innovate (adj.),OK,,
innovation,創新,n.,innovation (n.),OK,,
innovative,新穎的,adj.,innovative (adj.),OK,,
innovator,創新者,n.,innovator (n.),OK,,
inquire,詢問；打聽設,n.,inquire (n.),OK,,
inquiry,詢問；打聽,n.,inquiry (n.),OK,,
insane,精神錯亂的；,adj.,insane (adj.),OK,,
insanity,瘋狂,n.,insanity (n.),OK,,
insecure,不安全的；,adj.,insecure (adj.),OK,,
insecurity,不安全；危,n.,insecurity (n.),OK,,
insert,插入；嵌入,n.,insert (n.),OK,,
inside,內部；裡面,n.,inside (n.),OK,,
insider,內部的人；會員,n.,insider (n.),OK,,
insight,見解；看法,n.,insight (n.),OK,,
insist,堅持,n.,insist (n.),OK,,
inspect,檢查；審查,n.,inspect (n.),OK,,
inspection,檢查；檢查；審查；視察,n.,inspection (n.),OK,,
inspector,檢查員；視,n.,inspector (n.),OK,,
inspiration,靈感；鼓,n.,inspiration (n.),OK,,
inspire,鼓舞；激勵,n.,inspire (n.),OK,,
inspiring,激勵人心的；鼓舞人心,adj.,inspiring (adj.),OK,,
install,安裝；安裝；設置,n.,install (n.),OK,,
installment,安裝；設,n.,installment (n.),OK,,
instance,例子；實例,n.,instance (n.),OK,,
instant,立即的；即刻舞契約,adj.,instant (adj.),OK,,
instantaneously,即刻；突如其來地創立；設立,adv.,instantaneously (adv.),OK,,
instead,反而，卻,n.,instead (n.),OK,,
instead of,而不是,phr.,instead of (phr.),OK,,
institute,協會；學院,n.,institute (n.),OK,,
institution,制度；機構,n.,institution (n.),OK,,
instruct,命令；指示,n.,instruct (n.),OK,,
instruction,命令；指示；指令,n.,instruction (n.),OK,,
instructor,教練；指導者,n.,instructor (n.),OK,,
instrument,樂器；儀器；器具,n.,instrument (n.),OK,,
instrumental,用樂器,adj.,instrumental (adj.),OK,,
insult,侮辱；羞辱,n.,insult (n.),OK,,
insurance,保險；保險；保險演奏的；有幫助的察員,adj.,insurance (adj.),OK,,
insure,保證；確保,n.,insure (n.),OK,,
integrity,正直,n.,integrity (n.),OK,,
intelligence,聰明才智置,n.,intelligence (n.),OK,,
intelligent,有智慧的,adj.,intelligent (adj.),OK,,
intend,想要；打算；打算,n.,intend (n.),OK,,
intense,強烈的；劇烈,adj.,intense (adj.),OK,,
intensify,加強；增強,v.,intensify (v.),OK,,
intensive,加強的；密,adj.,intensive (adj.),OK,,
intent,意圖；目的,adj.,intent (adj.),OK,,
intention,意圖；目的,adj.,intention (adj.),OK,,
interchangeable,可交集的,adj.,interchangeable (adj.),OK,,
interest,興趣；興趣；喜好；,n.,interest (n.),OK,,
interested,感興趣的,adj.,interested (adj.),OK,,
interfere,妨礙；衝突,n.,interfere (n.),OK,,
interior,內部的；內側的,adj.,interior (adj.),OK,,
intermittent,間歇的；週期性的,adj.,intermittent (adj.),OK,,
internal,內部的,adj.,internal (adj.),OK,,
international,國際的,adj.,international (adj.),OK,,
internationalize,使國,v.,internationalize (v.),OK,,
interpret,翻譯；解釋；說明,n.,interpret (n.),OK,,
interpreter,口譯者,n.,interpreter (n.),OK,,
interrupt,打擾；干擾；打斷,n.,interrupt (n.),OK,,
interruption,打擾；干目錄形的,adj.,interruption (adj.),OK,,
interview,訪談；面試；面試；訪談,n.,interview (n.),OK,,
interviewee,被面試的,adj.,interviewee (adj.),OK,,
interviewer,採訪者,n.,interviewer (n.),OK,,
intimate,親密,v.,intimate (v.),OK,,
intricate,錯綜複雜的；,adj.,intricate (adj.),OK,,
introduce,介紹；介紹；引見,n.,introduce (n.),OK,,
introduction,介紹；引,n.,introduction (n.),OK,,
introductory,介紹的,adj.,introductory (adj.),OK,,
invent,發明；創造,v.,invent (v.),OK,,
invention,發明；創造,n.,invention (n.),OK,,
inventive,發明的；創利息,adj.,inventive (adj.),OK,,
inventor,發明家；創作者,n.,inventor (n.),OK,,
inventory,存貨清單；,n.,inventory (n.),OK,,
invest,投資,n.,invest (n.),OK,,
investment,投資,n.,investment (n.),OK,,
investor,投資者,n.,investor (n.),OK,,
invisible,看不見的；無際化,adj.,invisible (adj.),OK,,
invitation,請帖；邀請；邀請函擾,n.,invitation (n.),OK,,
invite,邀請,n.,invite (n.),OK,,
invoice,發票；發票；發貨單,n.,invoice (n.),OK,,
involve,涉入；參與,n.,involve (n.),OK,,
involvement,參與人,n.,involvement (n.),OK,,
irrelevant,不相干的,adj.,irrelevant (adj.),OK,,
isolated,被孤立,v.,isolated (v.),OK,,
issue,問題；發行；配給問,n.,issue (n.),OK,,
item,項目；條款,n.,item (n.),OK,,
itemize,分條列述；詳,v.,itemize (v.),OK,,
itinerary,旅程；路線,n.,itinerary (n.),OK,,
ivory,象牙,n.,ivory (n.),OK,,
janitor,看門人的工友,n.,janitor (n.),OK,,
jealous,嫉妒,adj.,jealous (adj.),OK,,
jeans,牛仔褲,n.,jeans (n.),OK,,
jet lag,時差,phr.,jet lag (phr.),OK,,
jewel,鑽石,n.,jewel (n.),OK,,
jewelry,首飾,n.,jewelry (n.),OK,,
job,工作；工作；職業,n.,job (n.),OK,,
jobless,失業的,adj.,jobless (adj.),OK,,
jog,慢跑；慢跑；緩行慢,n.,jog (n.),OK,,
join,參加；參與；參加,n.,join (n.),OK,,
joint,關節；接合點,n.,joint (n.),OK,,
joke,笑話；玩笑,n.,joke (n.),OK,,
journal,日報；雜誌；日誌,adj.,journal (adj.),OK,,
journalist,新聞工作者,n.,journalist (n.),OK,,
journey,旅程；旅行,n.,journey (n.),OK,,
judge,審判；判決法官；評判,n.,judge (n.),OK,,
judgmental,判定的,adj.,judgmental (adj.),OK,,
juice,果汁,n.,juice (n.),OK,,
junction,連接；接合；交叉點家族；親戚,n.,junction (n.),OK,,
junk,破爛,n.,junk (n.),OK,,
just,剛好；僅僅；方才,n.,just (n.),OK,,
justice,正義；公平,n.,justice (n.),OK,,
justify,證明無罪；開釋題；爭論,v.,justify (v.),OK,,
keen,熱心的；敏銳的,adj.,keen (adj.),OK,,
keenly,敏銳地；銳利地旅行的；旅程的J,adj.,keenly (adj.),Possible error,敏銳地；銳利地旅行的；旅程的,English letters present in Chinese meaning
keep,持有；保有,v.,keep (v.),OK,,
keep up,持續；跟上,phr.,keep up (phr.),OK,,
keeper,飼養者；保管人,n.,keeper (n.),OK,,
key,鑰匙；關鍵,n.,key (n.),OK,,
keyboard,鍵盤,n.,keyboard (n.),OK,,
kick,踢；剔除,n.,kick (n.),OK,,
kick off,開球,phr.,kick off (phr.),OK,,
kickoff,開球；開始,n.,kickoff (n.),OK,,
kid,小孩；兒童,n.,kid (n.),OK,,
kidna,綁架,n.,kidna (n.),OK,,
kidnapper,綁票者,n.,kidnapper (n.),OK,,
kidney,腎臟,n.,kidney (n.),OK,,
kilogram,公斤,n.,kilogram (n.),OK,,
kilometer,公里,n.,kilometer (n.),OK,,
kin,同類的；類似的跑；輕搖,adj.,kin (adj.),OK,,
kind,親切的；和藹的種類,adj.,kind (adj.),OK,,
kindly,親切的；和藹的,adj.,kindly (adj.),OK,,
kindness,親切；寬大,n.,kindness (n.),OK,,
kit,成套工具,n.,kit (n.),OK,,
knob,把手,n.,knob (n.),OK,,
know,知道；了解,v.,know (v.),OK,,
knowingly,熟悉地,adv.,knowingly (adv.),OK,,
knowledge,明白；知識,n.,knowledge (n.),OK,,
knowledgeable,博學,adj.,knowledgeable (adj.),OK,,
lab,實驗室,n.,lab (n.),OK,,
label,貼紙；標籤貼標籤於,n.,label (n.),OK,,
labor,勞動；勞工；勞動勞,n.,labor (n.),OK,,
laboratory,實驗室,n.,laboratory (n.),OK,,
lack,缺乏；缺少；缺乏欠,n.,lack (n.),OK,,
lacking,缺乏的,adj.,lacking (adj.),OK,,
lag,落後；延遲落後；,n.,lag (n.),OK,,
laid-back,懶散的；閒,phr.,laid-back (phr.),OK,,
lake,湖泊,n.,lake (n.),OK,,
lamentl,哀悼；悲痛；哀悼，悲痛,n.,lamentl (n.),OK,,
lamp,燈；油燈照；,n.,lamp (n.),OK,,
land,陸地；田地；地產登陸；降落地主,adv.,land (adv.),OK,,
landing,降落，著落,v.,landing (v.),OK,,
landlady,女房東；女,n.,landlady (n.),OK,,
landlord,地主；房東,n.,landlord (n.),OK,,
landmark,地標；里程碑,n.,landmark (n.),OK,,
landscape,景觀；風景；景色,n.,landscape (n.),OK,,
landscaper,庭園設計家,n.,landscaper (n.),OK,,
language,語言,n.,language (n.),OK,,
languish,變得無生氣；衰弱,adj.,languish (adj.),OK,,
lapse,時間流逝；跌落流逝；背離,n.,lapse (n.),OK,,
laptop,手提電腦,n.,laptop (n.),OK,,
large,大的；巨大的缺；不足；大量的；巨大的,adj.,large (adj.),OK,,
large-scale,大規模的,phr.,large-scale (phr.),OK,,
largescale,大規模,n.,largescale (n.),OK,,
lash,鞭打；抽打鞭,n.,lash (n.),OK,,
last,持續；維持,n.,last (n.),OK,,
last-minute,最後的散的,phr.,last-minute (phr.),OK,,
late,遲的；已故的；晚,adj.,late (adj.),OK,,
lately,近來；最近,adv.,lately (adv.),OK,,
later,較晚的；更晚的,adj.,later (adj.),OK,,
latter,後者；後者的；後面的,adj.,latter (adj.),OK,,
laugh,笑聲,n.,laugh (n.),OK,,
launch,發射；發動；發起；出版,n.,launch (n.),OK,,
laundry,洗衣店；送洗,n.,laundry (n.),OK,,
lavatory,盥洗室；洗手間租,n.,lavatory (n.),OK,,
law,法律；法律；規則,n.,law (n.),OK,,
lawful,合法的；法定的,adj.,lawful (adj.),OK,,
lawn,草坪,n.,lawn (n.),OK,,
lawsuit,訴訟,n.,lawsuit (n.),OK,,
lawyer,律師,n.,lawyer (n.),OK,,
lay,放；擱；下蛋,n.,lay (n.),OK,,
layer,層；階層,n.,layer (n.),OK,,
layoff,解雇,n.,layoff (n.),OK,,
layout,佈置；編排；安排；設計陳列,n.,layout (n.),OK,,
lazy,懶惰的,adj.,lazy (adj.),OK,,
le,文件夾歸檔提出,n.,le (n.),OK,,
lead,領導；帶領；領導；領先,v.,lead (v.),OK,,
leader,領導,n.,leader (n.),OK,,
leading,領路的；帶領,adj.,leading (adj.),OK,,
league,同盟；聯盟同盟；聯盟,n.,league (n.),OK,,
leak,漏洞；裂縫洩漏後來；以後,n.,leak (n.),OK,,
leakage,漏；洩漏,n.,leakage (n.),OK,,
lean,傾身；屈身,n.,lean (n.),OK,,
leap,跳過；越過跳；,n.,leap (n.),OK,,
learn,學習；學會；學習；得知,n.,learn (n.),OK,,
lease,租約；租契出發射；發行,n.,lease (n.),OK,,
least,最小的；最少的,adj.,least (adj.),OK,,
leathe,皮革皮的；,adj.,leathe (adj.),OK,,
leave,離開；脫離,v.,leave (v.),OK,,
lecture,授課；演講,n.,lecture (n.),OK,,
leg,腿部,n.,leg (n.),OK,,
legal,合法的；正當的；法律,adj.,legal (adj.),OK,,
legalize,使合法化,v.,legalize (v.),OK,,
legend,傳說,n.,legend (n.),OK,,
legitimate,合法的；正,adj.,legitimate (adj.),OK,,
leisure,空閒；閒暇；空暇時間空閒的,adj.,leisure (adj.),OK,,
lend,借；提供的,adj.,lend (adj.),OK,,
length,長度,n.,length (n.),OK,,
less,較少地,adv.,less (adv.),OK,,
lesson,課程；學習leﬂ,n.,lesson (n.),Possible error,課程；學習ﬂ,English letters present in Chinese meaning
let,允許;讓,v.,let (v.),OK,,
let sb. in on sth.,告訴～有關～,phr.,let sb. in on sth. (phr.),OK,,
letter,信；書信品,n.,letter (n.),OK,,
letterhead,印在信紙的,adj.,letterhead (adj.),OK,,
level,水平面；程度,n.,level (n.),OK,,
leverage,手段；力量；影響力,n.,leverage (n.),OK,,
liability,傾向責任,n.,liability (n.),OK,,
liable,易……的；可能的,adj.,liable (adj.),OK,,
liberal,開明的；不守舊的,adj.,liberal (adj.),OK,,
library,圖書館,n.,library (n.),OK,,
license,證照；許可,n.,license (n.),OK,,
life,生活,n.,life (n.),OK,,
lifestyle,生活方式,n.,lifestyle (n.),OK,,
lift,舉起,n.,lift (n.),OK,,
light,光線,n.,light (n.),OK,,
lighting,照明,v.,lighting (v.),OK,,
likelihood,可能；可能,n.,likelihood (n.),OK,,
likely,適當的；可能的,adj.,likely (adj.),OK,,
limit,界線；界限限,n.,limit (n.),OK,,
limitation,限度,n.,limitation (n.),OK,,
limited,有限；有限的；有限的；不多,adj.,limited (adj.),OK,,
link,連結；連結；聯繫連,n.,link (n.),OK,,
liquor,酒類,n.,liquor (n.),OK,,
list,清單；表；名冊利可圖的,adj.,list (adj.),OK,,
literary,文章,n.,literary (n.),OK,,
litter,廢棄物；雜亂的,adj.,litter (adj.),OK,,
lively,活潑的；熱鬧,adj.,lively (adj.),OK,,
living room,客廳,phr.,living room (phr.),OK,,
ll,執行；履行；裝滿；填滿,n.,ll (n.),OK,,
llment,履行；實現,n.,llment (n.),OK,,
lm,膠捲影片；影片,n.,lm (n.),OK,,
load,負擔；重任裝；裝載,n.,load (n.),OK,,
loan,貸款借出；貸與,n.,loan (n.),OK,,
local,當地的；本地的,adj.,local (adj.),OK,,
locate,設置在；座落於,v.,locate (v.),OK,,
located,坐落的；位於本地人,adj.,located (adj.),OK,,
location,位置；地點；位置；地點；定位,n.,location (n.),OK,,
lock,鎖住,n.,lock (n.),OK,,
locksmith,鎖匠,n.,locksmith (n.),OK,,
logistics,物流；運籌,n.,logistics (n.),OK,,
logo,標識；標識性,n.,logo (n.),OK,,
look,看見,n.,look (n.),OK,,
look forward to,期待,phr.,look forward to (phr.),OK,,
loom,織布機,n.,loom (n.),OK,,
lose,丟失；輸去；賠；失去；敗北,v.,lose (v.),OK,,
loss,喪失；遺失；損失,n.,loss (n.),OK,,
lotion,洗劑,n.,lotion (n.),OK,,
loudly,大聲地,adv.,loudly (adv.),OK,,
lounge,閒蕩；躺椅發許可證給,n.,lounge (n.),OK,,
love,愛情；鍾愛,n.,love (n.),OK,,
loyal,忠誠；忠誠的；忠心的,adj.,loyal (adj.),OK,,
loyalty,忠誠；忠心,n.,loyalty (n.),OK,,
lter,濾器過濾；濾除,n.,lter (n.),OK,,
luck,運氣,n.,luck (n.),OK,,
lucrative,賺錢的；有接；結合,adj.,lucrative (adj.),OK,,
luggage,行李,n.,luggage (n.),OK,,
lumber,木材；木料採伐M,n.,lumber (n.),Possible error,木材；木料採伐,English letters present in Chinese meaning
lunch,午餐,n.,lunch (n.),OK,,
lunch meeting,午餐會,phr.,lunch meeting (phr.),OK,,
mad,發瘋的；發狂的,adj.,mad (adj.),OK,,
madam,夫人,n.,madam (n.),OK,,
madness,瘋狂；神經,n.,madness (n.),OK,,
magazine,雜誌,n.,magazine (n.),OK,,
magical,神奇,adj.,magical (adj.),OK,,
magnificent,壯麗,n.,magnificent (n.),OK,,
mail,信件：郵件郵,n.,mail (n.),OK,,
mailing,郵寄；郵件,v.,mailing (v.),OK,,
main,主要的；最重要的主要部分；要點；午餐會,adj.,main (adj.),OK,,
main branch,次級的；下層的,phr.,main branch (phr.),OK,,
mainframe,主機；中手冊；便覽,n.,mainframe (n.),OK,,
maintain,維持；維持；保持,n.,maintain (n.),OK,,
maintenance,維修；保養；維持；,n.,maintenance (n.),OK,,
major,主要的；一流的,adj.,major (adj.),OK,,
majority,多數派；大多,n.,majority (n.),OK,,
make,製造,v.,make (v.),OK,,
make sense,意義,phr.,make sense (phr.),OK,,
mall,購物中心,n.,mall (n.),OK,,
manage,管理；管理；經營數製造業；製品,n.,manage (n.),OK,,
management,管理；；經營；管理,n.,management (n.),OK,,
manager,經理；經理；主任,n.,manager (n.),OK,,
managerial,管理人的；經理的,adj.,managerial (adj.),OK,,
mandate,命令；指令,v.,mandate (v.),OK,,
manner,方式；方式；態度；禮貌錯亂,n.,manner (n.),OK,,
manual,手的；手工的,adj.,manual (adj.),OK,,
manually,手工地,adv.,manually (adv.),OK,,
manufacture,製造，加工,n.,manufacture (n.),OK,,
manufacturer,廠商；製造業者；廠商,n.,manufacturer (n.),OK,,
margin,邊；邊沿,n.,margin (n.),OK,,
mark,標示；痕跡；汙點；記號記下；標明,n.,mark (n.),OK,,
market,市場；銷路,v.,market (v.),OK,,
marry,結婚,n.,marry (n.),OK,,
martial arts,武術,phr.,martial arts (phr.),OK,,
marvelous,奇妙,adj.,marvelous (adj.),OK,,
mask,面具；口罩,n.,mask (n.),OK,,
masses,群眾,n.,masses (n.),OK,,
master,主人,n.,master (n.),OK,,
match,比賽；競賽相配；相適合保持,n.,match (n.),OK,,
material,材料,adj.,material (adj.),OK,,
maternal,母親的；母性的,adj.,maternal (adj.),OK,,
matter,事情；問題；事件有關係；要緊；要緊；事情,n.,matter (n.),OK,,
maturity,到期,n.,maturity (n.),OK,,
maximum,最大量；最大數最大的；最多的,adj.,maximum (adj.),OK,,
maybe,也許,n.,maybe (n.),OK,,
mayor,市長,n.,mayor (n.),OK,,
meal,餐點,adj.,meal (adj.),OK,,
mean,吝嗇的；小氣的,adj.,mean (adj.),OK,,
meaning,意思；含義,v.,meaning (v.),OK,,
meaningful,富有意義的,adj.,meaningful (adj.),OK,,
means,方法,n.,means (n.),OK,,
measurable,可測量的,adj.,measurable (adj.),OK,,
measure,測量；計量,n.,measure (n.),OK,,
measurement,測量；,n.,measurement (n.),OK,,
media,媒體,n.,media (n.),OK,,
medicine,藥；良藥,n.,medicine (n.),OK,,
mediocre,中等的；平,adj.,mediocre (adj.),OK,,
medium,媒介物；手段,n.,medium (n.),OK,,
meet,會面；結識,v.,meet (v.),OK,,
meeting room,會客室,phr.,meeting room (phr.),OK,,
melt,融化,n.,melt (n.),OK,,
member,成員；會員合併措施；手段,n.,member (n.),OK,,
