English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
ignorant,無知的；不,adj.,ignorant (adj.),OK,,,"a. 无知识的, 不知道的, 由无知产生的\n[法] 无知的, 愚昧的, 不知情的",
ignore,不理會；忽視,n.,ignore (n.),OK,,,"vt. 不理睬, 忽视, 驳回, 忽略\n[计] 忽略",
ill,生病的；壞的不,adj.,ill (adj.),OK,,,"n. 疾病, 坏事, 罪恶, 灾难\na. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的\nadv. 有害地, 不幸地, 几乎不",
ill-advised,欠考慮的；,phr.,ill-advised (phr.),OK,,,"a. 欠谨慎的, 没脑筋的",
illegal,違法的,adj.,illegal (adj.),OK,,,"a. 违法的, 不合规定的\n[经] 非法的, 犯规的",
illicit,不法的，違禁的,adj.,illicit (adj.),OK,,,"a. 不法的, 不正当的, 禁止的\n[法] 违法的, 违禁的, 被禁止的",
illiteracy,不識字；文適,n.,illiteracy (n.),OK,,,"n. 文盲, 无知",
illness,患病；身體不,n.,illness (n.),OK,,,"n. 疾病, 恶意\n[医] 病",
illogical,不合邏輯的,adj.,illogical (adj.),OK,,,"a. 不合逻辑的, 无缘由的\n[法] 不合逻辑的, 无条理的, 说不通的",
illuminate,照亮；照射,v.,illuminate (v.),OK,,,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂\nvi. 照亮, 用灯装饰",
illusion,錯覺；幻覺,n.,illusion (n.),OK,,,"n. 幻影, 错觉, 幻想\n[医] 错觉",
illustrate,說明；說明；闡明,v.,illustrate (v.),OK,,,"vt. 举例说明, 作图解, 阐明\nvi. 举例说明",
illustration,描繪；插畫,n.,illustration (n.),OK,,,"n. 例证, 插图\n[化] 插图",
image,圖像；圖像；圖案,n.,image (n.),OK,,,"n. 影像, 肖像, 想象, 图像, 形象, 翻版\nvt. 作...的像, 反映, 想象, 象征\nn. 图像\n[计] 图象",
imaginary,想像的；幻想的,adj.,imaginary (adj.),OK,,,"a. 想像的, 虚构的, 假想的",
imagination,想像力,n.,imagination (n.),OK,,,"n. 想像, 听觉, 想像力\n[医] 想像",
imaginative,想像的,adj.,imaginative (adj.),OK,,,"a. 想像的, 虚构的",
imagine,想像,n.,imagine (n.),OK,,,"vt. 想像, 设想, 猜测\nvi. 想像起来",
imitate,模仿,v.,imitate (v.),OK,,,"vt. 模仿, 效法, 冒充, 仿造",
immature,不成熟的,adj.,immature (adj.),OK,,,"a. 不成熟的, 未完全发育的, 粗糙的\n[医] 未成熟的",
immediate,立刻的；,adj.,immediate (adj.),OK,,,"a. 立即的, 直接的, 接近的\n[医] 直接的, 立即的",
immediately,立即；馬上；,adv.,immediately (adv.),OK,,,"adv. 直接地, 立刻, 立即",
immense,巨大的；廣偏見的,adj.,immense (adj.),OK,,,"a. 极广大的, 无边的, 非常好的",
immigrant,移民；僑民移民的,adj.,immigrant (adj.),OK,,,"n. 移民\na. 移入的, 移民的",
immigration,遷居,n.,immigration (n.),OK,,,"n. 移民, 移居\n[医] 移民",
immobile,不能動的；固定的,adj.,immobile (adj.),OK,,,"a. 不动的, 不变的, 固定的, 静止的",
immune,免疫的盲,n.,immune (n.),OK,,,"a. 免疫的, 免除的, 不受影响的\nn. 免疫者",
impact,產生影響；碰撞,n.,impact (n.),OK,,,"n. 冲击, 冲突, 影响, 效果\nvt. 挤入, 撞击, 压紧, 对...发生影响",
impair,損害；損傷,n.,impair (n.),OK,,,"vt. 损害, 减少, 削弱\n[法] 损害, 伤害, 减少",
impartial,公正；公正的；無,adj.,impartial (adj.),OK,,,"a. 公平的, 不偏不倚的\n[法] 公正无私的, 不偏袒的, 公平的",
impatient,不耐煩的，沒耐心的,adj.,impatient (adj.),OK,,,"a. 不耐烦的, 着急的, 急切的",
impeccable,無懈可擊的；無缺點的,adj.,impeccable (adj.),OK,,,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的",
impede,妨礙；阻礙,n.,impede (n.),OK,,,"vt. 妨碍, 阻碍, 阻止",
imperative,必要的；緊急的,adj.,imperative (adj.),OK,,,"n. 命令, 必要的事, 规则, 祈使语气\na. 命令式的, 急需的, 势在必行的, 强制的",
implement,工具；器具履行；實施,n.,implement (n.),OK,,,"n. 工具, 器具, 手段\nvt. 实现, 使生效, 执行",
implementation,履行；完成,n.,implementation (n.),OK,,,"n. 安装启用, 实行, 履行\n[计] 实施; 实现",
implication,牽連；涉及立即的,adj.,implication (adj.),OK,,,"n. 牵连, 含义, 暗示\n[法] 推断, 含蓄之意, 暗示",
imply,暗指；暗示,adv.,imply (adv.),OK,,,"vt. 暗示, 意味\n[计] 隐含",
impolite,失禮的直接地,adv.,impolite (adv.),OK,,,"a. 无礼的, 粗鲁的",
import,進口；輸入,n.,import (n.),OK,,,"n. 进口货, 进口, 输入, 含义, 重要性\nvt. 输入, 引入, 进口, 含...的意思, 重要\nvi. 有关系\n[计] 引入",
importance,重要性,n.,importance (n.),OK,,,"n. 重要, 重要性, 重要地位, 自大\n[机] 重要, 重要性",
important,重要的,adj.,important (adj.),OK,,,"a. 重要的, 有地位的, 大量的, 显要的, 自负的\n[计] 要点",
impose,強加於；禁令；制裁,n.,impose (n.),OK,,,"vt. 征(税), 把...强加于, 以...欺骗\nvi. 利用, 欺骗, 施加影响",
impossible,不可能的,adj.,impossible (adj.),OK,,,"a. 不可能的, 难以置信的, 令人无法忍受的",
impractical,不實際的,adj.,impractical (adj.),OK,,,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的",
impress,使感動；使銘,n.,impress (n.),OK,,,"n. 印象, 特征, 印记\nvt. 使有印象, 印, 铭刻, 传送, 影响, 强征\nvi. 给人印象",
impression,印象,n.,impression (n.),OK,,,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果\n[医] 压迹, 印模, 印象, 影响",
impressive,令人印象深刻的；印象深刻,adj.,impressive (adj.),OK,,,"a. 给人深刻印象的, 威严的",
improper,不合適的,adj.,improper (adj.),OK,,,"a. 不合适的, 错误的, 不成体统的, 不道德的\n[法] 不适当的, 不合适的, 不正确的",
improve,增強；改善；改善,n.,improve (n.),OK,,,"vt. 改良, 提高...的价值, 改善, 利用\nvi. 变得更好, 增加",
improvement,增強；記,n.,improvement (n.),OK,,,"n. 进步, 改善, 利用\n[医] 改善, 好转, 进步",
impulse,衝動；刺激,n.,impulse (n.),OK,,,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲\nvt. 推动",
in a good／bad mood,心情好／壞,phr.,in a good／bad mood (phr.),OK,,,,
in addition,除此之外,phr.,in addition (phr.),OK,,,另外,
in addition to,除了,phr.,in addition to (phr.),OK,,,除...之外,
in front of,在～前面,phr.,in front of (phr.),OK,,,在...前面,
in-depth,深入的；徹底的,phr.,in-depth (phr.),OK,,,"a. 深入的, 彻底的",
inability,無能；無力,n.,inability (n.),OK,,,"n. 无能, 无力",
inaccurate,不正確的,adj.,inaccurate (adj.),OK,,,"a. 错误的, 不准确的\n[化] 不精确",
inactive,不活躍的,adj.,inactive (adj.),OK,,,"a. 不活动的, 停止的, 怠惰的, 闲置的\n[计] 非活动的",
inadequate,不適切的,adj.,inadequate (adj.),OK,,,"a. 不充分的, 不适当的\n[法] 不充分的, 不适当的",
inbound,回內地的；歸,adj.,inbound (adj.),OK,,,"a. 归本国的, 入境的\n[计] 不装订",
incense,香氣,n.,incense (n.),OK,,,"n. 香, 香气, 奉承\nvi. 焚香\nvt. 用香焚, 使发怒",
incentive,鼓勵；動機刺激的；鼓勵的,adj.,incentive (adj.),OK,,,n. 动机\na. 激励的,
inch,英吋；少許緩慢地移動,n.,inch (n.),OK,,,"n. 英寸, 身高, 小岛\nvi. 慢慢前进, 慢慢移动\nvt. 使缓慢地移动",
incident,事件；事變,n.,incident (n.),OK,,,"n. 事件, 事变, 小事\na. 附带的, 易于发生的, 外来的, 入射的",
incidental,附帶的；伴隨的,adj.,incidental (adj.),OK,,,"a. 附带的, 偶然的, 容易发生的\nn. 附带事件",
incinerate,焚化；灰化,v.,incinerate (v.),OK,,,"vi. 烧成灰, 灰化\nvt. 焚化",
incinerator,焚化爐,n.,incinerator (n.),OK,,,"n. 焚烧装置, 焚烧炉, 焚尸炉\n[化] 焚烧炉; 焚化炉; 煅烧炉",
inclination,傾向；意向的,adj.,inclination (adj.),OK,,,"n. 倾向, 趋向, 倾斜度, 点头\n[化] 倾角",
incline,傾斜；屈身,n.,incline (n.),OK,,,"n. 倾斜, 斜坡, 斜面\nvt. 使倾向于, 使倾斜\nvi. 倾向, 倾斜, 爱好, 易于",
include,包括；包含,n.,include (n.),OK,,,"vt. 包括, 把...算入, 包住\n[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容",
including,包括；包括；包,v.,including (v.),OK,,,"prep. 包含, 包括\n[经] 包括, 算入",
inclusive,包含的，包括的,adj.,inclusive (adj.),OK,,,"a. 包含的, 包括的",
incoherent,無條理的；,adj.,incoherent (adj.),OK,,,"a. 不连贯的, 语无伦次的\n[医] 不连贯的",
income,收入；收入；收益,n.,income (n.),OK,,,"n. 收入, 收益, 流入\n[经] 收益",
incoming,進來的進,v.,incoming (v.),OK,,,"a. 进来的, 刚开始的, 新来的\nn. 进来",
incompetent,無能力的；不能勝任的本國的,adj.,incompetent (adj.),OK,,,"a. 无能力的, 无资格的, 机能不全的, 不胜任的\nn. 无能力者",
incomplete,不完全的；不完整的,adj.,incomplete (adj.),OK,,,"a. 不完全的, 未完成的, 不完善的\n[机] 不完全的",
inconsistent,不一致,n.,inconsistent (n.),OK,,,"a. 不一致的, 易变的, 前后矛盾的\n[法] 矛盾的, 不一致的, 不协调的",
inconvenience,不方,n.,inconvenience (n.),OK,,,"n. 不便, 困难\nvt. 使感不便, 使感困难",
inconvenient,不方便,n.,inconvenient (n.),OK,,,"a. 不便的, 有困难的",
incorporate,合併；混,v.,incorporate (v.),OK,,,"a. 合并的, 组成公司的, 一体化的\nvt. 吸收, 合并, 使组成公司, 体现\nvi. 合并, 混合, 组成公司",
incorporation,公司；,n.,incorporation (n.),OK,,,"n. 包含, 结合, 编入, 团体组织\n[医] 惨合, 混合, 合并",
incorrect,不正確的,adj.,incorrect (adj.),OK,,,"a. 不正确的\n[法] 不正确, 错误的, 不适当的",
increase,增加；增多示示物；增長,n.,increase (n.),OK,,,"n. 增加, 增进, 利益\nvt. 增加, 加大\nvi. 增加, 繁殖",
incredibility,不可信,n.,incredibility (n.),OK,,,n. 不能相信,
incredible,難以置信人的,adj.,incredible (adj.),OK,,,a. 难以置信的,
incur,招致；惹起,n.,incur (n.),OK,,,"vt. 招致, 蒙受, 遭遇\n[经] 招致, 蒙受, 担负",
indebt,使負債,n.,indebt (n.),OK,,,"v. 使负债, 使受恩惠",
indecisive,優柔寡斷的,adj.,indecisive (adj.),OK,,,"a. 非决定性的, 犹豫不决的, 不明确的",
indeed,真正地；確實,adv.,indeed (adv.),OK,,,"adv. 的确, 实在, 真正地, 甚至",
independent,獨立的；；獨立的；自主的,adj.,independent (adj.),OK,,,"n. 独立自主者, 无党派者\na. 独立的, 有主见的, 不须依赖的, 不受约束的",
index,索引表明；指初期的,adj.,index (adj.),OK,,,"n. 索引, 指针, 指数, 指标\nvt. 编入索引中, 指出\nvi. 做索引\n[计] 下标; 附标; 变址; 索引; 编索引",
indicate,指示；指出,v.,indicate (v.),OK,,,"vt. 显示, 象征, 指示, 指出\n[医] 指示",
indication,徵兆；跡象,n.,indication (n.),OK,,,"n. 指示, 象征, 暗示\n[医] 指示, 指征, 适应征",
indicator,指示者；指,n.,indicator (n.),OK,,,"n. 指示器, 指示剂, 指标\n[计] 指示器",
indifference,漠不關心；冷淡增加,n.,indifference (n.),OK,,,"n. 不重视, 无兴趣, 漠不关心\n[法] 中立, 不偏袒, 不重视",
indifferent,冷淡的,adj.,indifferent (adj.),OK,,,"a. 漠不关心的, 无重要性的, 中立的\n[医] 中性的, 无作用的, 无亲和力的, 淡漠的",
indispensable,必需的,adj.,indispensable (adj.),OK,,,"n. 不可缺少之物\na. 不可缺少的, 责无旁贷的, 绝对必要的",
individual,個體的；個的；不協調的,adj.,individual (adj.),OK,,,"n. 人, 个人, 个体\na. 个别的, 个人的, 独特的",
indoor,室內的,adj.,indoor (adj.),OK,,,"a. 户内的, 室内的",
indoors,在室內；在屋裡的；驚人的,adj.,indoors (adj.),OK,,,adv. 在户内,
industrial,工業的,adj.,industrial (adj.),OK,,,"a. 工业的, 供工业用的, 工业高度发展的, 产业的\nn. 工业工人, 工业股票",
industrialize,工業化,v.,industrialize (v.),OK,,,vt. 使工业化\nvi. 实现工业化,
industry,工業；工業；企業,n.,industry (n.),OK,,,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动\n[经] 工业, 实业",
inevitable,無法避免的,adj.,inevitable (adj.),OK,,,"a. 不可避免的, 必然的\n[法] 不可避免的, 无法规避的, 必然的",
inevitably,無法避免地未定的,adj.,inevitably (adj.),OK,,,adv. 不可避免地,
inexpensive,廉價的,adj.,inexpensive (adj.),OK,,,"a. 便宜的, 不贵重的",
infamous,聲名狼藉的,adj.,infamous (adj.),OK,,,"a. 无耻的, 不名誉的, 声名狼藉的",
infancy,嬰兒期；幼年,n.,infancy (n.),OK,,,"n. 幼年, 初期, 幼儿期\n[医] 婴儿期(一足岁以内)",
infant,嬰兒嬰兒的；,adj.,infant (adj.),OK,,,"n. 婴儿, 儿童, 初学者\na. 婴儿的, 幼稚的",
infect,使受影響；感染,n.,infect (n.),OK,,,"vt. 传染, 感染\n[医] 传染, 感染",
infection,傳染；侵染,n.,infection (n.),OK,,,"n. 传染, 影响, 传染病\n[医] 传染, 感染",
infer,推論；推斷,n.,infer (n.),OK,,,"vt. 推论出, 推断\nvi. 作推论",
inference,推論；推斷,n.,inference (n.),OK,,,"n. 推论\n[法] 推论, 推理, 推断",
inferior,低等的；下級,adj.,inferior (adj.),OK,,,"a. 次等的, 较差的, 下方的, 下级的\nn. 部下, 次品, 下标(符号)",
influence,影響,n.,influence (n.),OK,,,"n. 影响力, 权力, 势力\nvt. 影响, 改变",
influential,有影響,adj.,influential (adj.),OK,,,"a. 有影响的, 有势力的",
info,通知；報告,n.,info (n.),OK,,,n. 信息\n[计] 信息,
inform,通知；告知,n.,inform (n.),OK,,,"vt. 通知, 使了解, 使充满\nvi. 提供资料, 告发",
informal,不正式的,adj.,informal (adj.),OK,,,"a. 非正式的, 不拘礼的, 通俗的\n[经] 非正式的, 日常使用的",
information,情報；資料；資訊,n.,information (n.),OK,,,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉\n[计] 信息",
informative,見聞廣博,adj.,informative (adj.),OK,,,"a. 提供消息的, 见闻广博的",
infrastructure,公共建,n.,infrastructure (n.),OK,,,"n. 基础结构, 基础设施\n[经] 基础设施",
ing,令人困惑的；,adj.,ing (adj.),OK,,,abbr. 惯性导航与制导（Inertial Navigation and Guidance）；强中子发生器（Intense Neutron Generator）,
ingredient,組成；原料,n.,ingredient (n.),OK,,,"n. 成分, 因素\n[化] 配合剂; 拼料; 成分; 组分",
inhabit,居住於；棲息,n.,inhabit (n.),OK,,,"vt. 居住于, 占据, 栖息",
inhabitant,居民；居住,n.,inhabitant (n.),OK,,,"n. 居民, 居住者\n[医] 居民",
inherent,內在的；固有的,adj.,inherent (adj.),OK,,,"a. 固有的, 与生俱来的\n[医] 固有的, 生来的",
initial,初始；開始的；最初的,adj.,initial (adj.),OK,,,"n. 字首, 首字母\na. 开始的, 最初的, 字首的\nvt. 用姓名的首字母签名",
initially,開始的；最初iﬁ,adj.,initially (adj.),Possible error,開始的；最初ﬁ,English letters present in Chinese meaning,"adv. 最初, 开头",
initiate,新加入的,adj.,initiate (adj.),OK,,,"n. 入会, 开始\na. 新加入的\nvt. 开始, 传授基本知识给",
initiation,開始；創始,n.,initiation (n.),OK,,,"n. 开始, 指引, 入会\n[化] 引发",
initiative,創始的iﬂ,adj.,initiative (adj.),Possible error,創始的ﬂ,English letters present in Chinese meaning,"n. 主动行动, 首创精神, 主动权\na. 自发的, 起始的",
inject,注射,n.,inject (n.),OK,,,"vt. 注射, 注入, 使入轨\n[医] 注射",
injection,注射,n.,injection (n.),OK,,,"n. 注射, 注射剂\n[化] 注入; 注射",
injure,傷害；損害,n.,injure (n.),OK,,,"vt. 伤害, 损害, 使受冤屈\n[医] 损伤",
injured,受傷的,adj.,injured (adj.),OK,,,"a. 受伤的, 受损害的, 被触怒的\n[法] 受害的, 被害的",
injury,傷害；損害；受傷,n.,injury (n.),OK,,,"n. 伤害, 侮辱\n[医] 伤, 损伤",
inn,店面,n.,inn (n.),OK,,,"n. 旅馆, 客栈\nvi. 住旅馆",
inner,內部的；核心的；裡面的,adj.,inner (adj.),OK,,,"a. 内部的, 内心的\nn. 内部",
innocent,無辜的；單,adj.,innocent (adj.),OK,,,"a. 无罪的, 不懂事的, 无知的\nn. 天真的人, 笨蛋",
innovate,創立；革新的,adj.,innovate (adj.),OK,,,"vi. 改革, 创新",
innovation,創新,n.,innovation (n.),OK,,,"n. 改革, 创新\n[法] 创新, 改革, 刷新",
innovative,新穎的,adj.,innovative (adj.),OK,,,"a. 革新的, 创新的, 富有革新精神的",
innovator,創新者,n.,innovator (n.),OK,,,"n. 改革者, 创新者",
inquire,詢問；打聽設,n.,inquire (n.),OK,,,"v. 询问, 问明, 查究",
inquiry,詢問；打聽,n.,inquiry (n.),OK,,,"n. 质询, 探索, 调查, 询盘\n[计] 询问; 查询",
insane,精神錯亂的；,adj.,insane (adj.),OK,,,"a. 患精神病的, 极愚蠢的\n[医] 神经错乱的",
insanity,瘋狂,n.,insanity (n.),OK,,,"n. 疯狂, 愚顽, 精神错乱\n[医] 精神病",
insecure,不安全的；,adj.,insecure (adj.),OK,,,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的",
insecurity,不安全；危,n.,insecurity (n.),OK,,,"n. 不安全, 不安全感\n[医] 不安全感, 无保障",
insert,插入；嵌入,n.,insert (n.),OK,,,"n. 插入物\nvt. 插入, 把(人造卫星)射入(轨道), 添写\nvi. 附着\n[计] 插入",
inside,內部；裡面,n.,inside (n.),OK,,,"n. 内部, 内脏, 内幕\na. 内部的, 秘密的, 户内的\nadv. 在里面\nprep. 在...之内",
insider,內部的人；會員,n.,insider (n.),OK,,,"n. 内部的人, 权威人士, 知道内情的人\n[经] 熟悉内情者",
insight,見解；看法,n.,insight (n.),OK,,,"n. 察看, 洞察力, 见识\n[医] 自知力, 洞察, 顿悟",
insist,堅持,n.,insist (n.),OK,,,"v. 坚持, 坚决主张, 强调",
inspect,檢查；審查,n.,inspect (n.),OK,,,"vt. 检查, 检阅, 检验\nvi. 检查",
inspection,檢查；檢查；審查；視察,n.,inspection (n.),OK,,,"n. 检验, 检查, 视察\n[医] 检查, 视察, 监督, 望诊",
inspector,檢查員；視,n.,inspector (n.),OK,,,"n. 检查员, 巡视员\n[化] 检查员",
inspiration,靈感；鼓,n.,inspiration (n.),OK,,,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气\n[医] 吸[气]",
inspire,鼓舞；激勵,n.,inspire (n.),OK,,,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感\nvi. 吸入, 赋予灵感",
inspiring,激勵人心的；鼓舞人心,adj.,inspiring (adj.),OK,,,a. 鼓舞人心的,
install,安裝；安裝；設置,n.,install (n.),OK,,,"vt. 安装, 安置, 使就职\n[计] 安装, 安装程序; DOS内部命令:安装常驻程序",
installment,安裝；設,n.,installment (n.),OK,,,"n. 就职, 装设, 分期付款\n[经] 分期付款",
instance,例子；實例,n.,instance (n.),OK,,,"n. 建议, 情况, 例子, 场合\nvt. 引以为例, 举例说明",
instant,立即的；即刻舞契約,adj.,instant (adj.),OK,,,"n. 立即, 瞬间\na. 紧急的, 立即的, 即时的",
instantaneously,即刻；突如其來地創立；設立,adv.,instantaneously (adv.),OK,,,"adv. 即刻, 立即",
instead,反而，卻,n.,instead (n.),OK,,,"adv. 作为替代, 反而",
instead of,而不是,phr.,instead of (phr.),OK,,,代替,
institute,協會；學院,n.,institute (n.),OK,,,"n. 学会, 学院, 协会\nvt. 创立, 开始, 制定, 任命",
institution,制度；機構,n.,institution (n.),OK,,,"n. 机构, 惯例, 制度\n[医] 机关, 机构, 设施",
instruct,命令；指示,n.,instruct (n.),OK,,,"vt. 教, 教育, 命令, 通知\n[法] 托办, 指导, 指示",
instruction,命令；指示；指令,n.,instruction (n.),OK,,,"n. 指令, 教导, 命令\n[计] 指令",
instructor,教練；指導者,n.,instructor (n.),OK,,,"n. 教员, 讲师\n[法] 指导者, 教员, 讲师",
instrument,樂器；儀器；器具,n.,instrument (n.),OK,,,"n. 工具, 手段, 仪器\n[化] 仪器",
instrumental,用樂器,adj.,instrumental (adj.),OK,,,"a. 仪器的, 器具的, 可作为手段的\n[医] 器械的",
insult,侮辱；羞辱,n.,insult (n.),OK,,,"n. 侮辱, 无礼, 损害\nvt. 损害, 侮辱, 攻击",
insurance,保險；保險；保險演奏的；有幫助的察員,adj.,insurance (adj.),OK,,,"n. 保险, 保险业, 保险费\n[医] 保险",
insure,保證；確保,n.,insure (n.),OK,,,"vt. 保险, 确保\nvi. 投保",
integrity,正直,n.,integrity (n.),OK,,,"n. 正直, 廉正, 完整\n[计] 完整性",
intelligence,聰明才智置,n.,intelligence (n.),OK,,,"n. 智力, 情报, 信息\n[医] 智力",
intelligent,有智慧的,adj.,intelligent (adj.),OK,,,"a. 聪明的, 智能的, 了解的",
intend,想要；打算；打算,n.,intend (n.),OK,,,"vt. 计划, 打算, 意思是\n[法] 想要, 打算, 意旨",
intense,強烈的；劇烈,adj.,intense (adj.),OK,,,"a. 非常的, 强烈的, 紧张的, 热情的\n[医] 强的",
intensify,加強；增強,v.,intensify (v.),OK,,,vt. 加强\nvi. 强化,
intensive,加強的；密,adj.,intensive (adj.),OK,,,"a. 加强的, 内涵的, 集中的\nn. 加强器",
intent,意圖；目的,adj.,intent (adj.),OK,,,"n. 意图, 含义, 故意\na. 专心的, 决心的, 热心的",
intention,意圖；目的,adj.,intention (adj.),OK,,,"n. 意图, 目的, 含义\n[医] 愈合, 意向",
interchangeable,可交集的,adj.,interchangeable (adj.),OK,,,a. 可互换的\n[化] 可互换的,
interest,興趣；興趣；喜好；,n.,interest (n.),OK,,,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力\nvt. 使感兴趣, 与...有关系",
interested,感興趣的,adj.,interested (adj.),OK,,,"a. 感兴趣的\n[法] 有利害关系的, 有股份的, 偏私的",
interfere,妨礙；衝突,n.,interfere (n.),OK,,,"vi. 妨碍, 冲突, 干涉, 抵触\n[医] 干扰, 干涉, 阻碍, 碰腿(马)",
interior,內部的；內側的,adj.,interior (adj.),OK,,,"n. 内部, 内政\na. 内部的, 心灵的, 内地的, 内政的",
intermittent,間歇的；週期性的,adj.,intermittent (adj.),OK,,,"a. 间歇的, 断断续续的\n[化] 间歇的; 间断的",
internal,內部的,adj.,internal (adj.),OK,,,"a. 内在的, 国内的\n[医] 内的, 内部的",
international,國際的,adj.,international (adj.),OK,,,a. 国际的\nn. 国别设定\n[计] 国别设定,
internationalize,使國,v.,internationalize (v.),OK,,,"vt. 使国际化, 置于国际共管下",
interpret,翻譯；解釋；說明,n.,interpret (n.),OK,,,"vt. 解释, 演出, 翻译, 理解\nvi. 翻译, 解释",
interpreter,口譯者,n.,interpreter (n.),OK,,,"n. 直译程序, 解释者, 口译者, 注释器\n[计] 注释器",
interrupt,打擾；干擾；打斷,n.,interrupt (n.),OK,,,"vt. 中断, 妨碍, 插嘴\nvi. 打断\nn. 中断\n[计] 中断",
interruption,打擾；干目錄形的,adj.,interruption (adj.),OK,,,"n. 打扰, 中断, 障碍物\n[医] 间断, 阻断, 中止",
interview,訪談；面試；面試；訪談,n.,interview (n.),OK,,,"n. 面谈, 访问, 接见, 面试\nvt. 接见, 对...进行面谈(试)",
interviewee,被面試的,adj.,interviewee (adj.),OK,,,"n. 被接见者, 被采访者, 被面试者",
interviewer,採訪者,n.,interviewer (n.),OK,,,"n. 会见者, 面谈者, 进行面试者",
intimate,親密,v.,intimate (v.),OK,,,"a. 亲密的, 私人的, 秘密的\nvt. 暗示, 通知, 告诉\nn. 至交",
intricate,錯綜複雜的；,adj.,intricate (adj.),OK,,,"a. 复杂的, 错综的, 缠结的, 难懂的",
introduce,介紹；介紹；引見,n.,introduce (n.),OK,,,"vt. 介绍, 引入, 采用, 输入\n[法] 引进, 输入, 介绍",
introduction,介紹；引,n.,introduction (n.),OK,,,"n. 介绍, 传入, 采用, 初步",
introductory,介紹的,adj.,introductory (adj.),OK,,,"a. 介绍的, 引导的, 开端的",
invent,發明；創造,v.,invent (v.),OK,,,"vt. 发明, 创作, 虚构\n[机] 发明",
invention,發明；創造,n.,invention (n.),OK,,,"n. 发明, 创作能力, 虚构的故事\n[经] 发明",
inventive,發明的；創利息,adj.,inventive (adj.),OK,,,"a. 善于创造的, 发明的",
inventor,發明家；創作者,n.,inventor (n.),OK,,,"n. 发明家\n[法] 发明人, 发明家, 创造者",
inventory,存貨清單；,n.,inventory (n.),OK,,,"n. 详细目录, 存货清单\nvt. 列入详细目录, 清点存货\n[计] 存货清单",
invest,投資,n.,invest (n.),OK,,,"vt. 投资, 花费, 笼罩, 授予\nvi. 投资, 利用",
investment,投資,n.,investment (n.),OK,,,"n. 投资\n[医] 包埋料, 围模料, 包埋法, 围模法",
investor,投資者,n.,investor (n.),OK,,,n. 投资者\n[经] 投资者,
invisible,看不見的；無際化,adj.,invisible (adj.),OK,,,"a. 看不见的, 无形的\n[经] 无形的, 表面上看不见的, 未列在公开帐目的",
invitation,請帖；邀請；邀請函擾,n.,invitation (n.),OK,,,"n. 邀请, 请柬, 引诱\n[经] 邀请, 招待, 吸引",
invite,邀請,n.,invite (n.),OK,,,"vt. 邀请, 请求, 引起, 招致\nn. 邀请",
invoice,發票；發票；發貨單,n.,invoice (n.),OK,,,"n. 发票, 发货单\nv. 开发票, 记清单",
involve,涉入；參與,n.,involve (n.),OK,,,"vt. 包括, 使陷于, 潜心于, 包围\n[医] 累及, 牵涉, 包含",
involvement,參與人,n.,involvement (n.),OK,,,"n. 卷入, 牵连, 包含, 困窘\n[经] 财政困难, 经济上的困窘",
irrelevant,不相干的,adj.,irrelevant (adj.),OK,,,"a. 不恰当的, 无关系的, 不相干的\n[法] 无关的, 不相干的, 离题的",
isolated,被孤立,v.,isolated (v.),OK,,,"a. 孤立的, 孤零零的\n[计] 隔离的, 绝缘的",
issue,問題；發行；配給問,n.,issue (n.),OK,,,"n. 发行, 问题, 后果, 流出, 出口, 争端\nvi. 发行, 流出, 造成...结果, 传下\nvt. 使流出, 放出, 发行, 发布, 发给",
item,項目；條款,n.,item (n.),OK,,,"n. 项目, 条款, 一则, 项\n[计] 项",
itemize,分條列述；詳,v.,itemize (v.),OK,,,"vt. 分条详述, 详细列举\n[经] 分项, 详细列明",
itinerary,旅程；路線,n.,itinerary (n.),OK,,,"n. 旅程, 旅行指南, 游记\na. 巡回的, 旅程的",
ivory,象牙,n.,ivory (n.),OK,,,"n. 象牙, 乳白色\na. 象牙制的, 乳白色的",
janitor,看門人的工友,n.,janitor (n.),OK,,,"n. 守卫, 门警, 管理人\n[医] 幽门",
jealous,嫉妒,adj.,jealous (adj.),OK,,,"a. 嫉妒的, 羡慕的, 留心的, 戒备的",
jeans,牛仔褲,n.,jeans (n.),OK,,,"n. 工装裤, 牛仔裤",
jet lag,時差,phr.,jet lag (phr.),OK,,,"n. 飞行时差反应, 时差感",
